stock_owner,trade_date,deep_turnover,deep_volume,deep_contracts,deep_oi_sum,deep_avg_churn,deep_max_churn,deep_avg_notional_churn,deep_avg_iv,deep_avg_delta,day_total_turnover,deep_turnover_share,is_churning
US.ORCL,2026-05-08,23503798.0,9836,14,81027,0.39306704878103027,3.1343283582089554,0.0776968032940413,65.40807142857143,0.7195160397142857,168856259.0,0.1391941177614269,False
US.PANW,2026-05-08,3889746.0,1812,4,11666,0.1925605230381084,0.29760225669957685,0.021901948474105197,23.29425,0.465110963,25704570.0,0.1513250756577527,False
US.PFE,2026-05-08,30379293.0,62473,11,11519,6.13915743826355,9.70059880239521,1.6427991422197072,5.1760909090909095,0.17069992690909092,36192769.0,0.8393746551970092,True
US.PWR,2026-05-08,3433273.0,300,1,326,0.9202453987730062,0.9202453987730062,0.1402836208748638,47.753,0.710361083,5939316.0,0.578058651871697,False
US.QCOM,2026-05-08,57031903.0,17725,18,70355,0.3162299893251261,0.9115008156606852,0.042707395019410364,65.10077777777776,0.7501182847222222,277846743.0,0.20526388894902395,False
US.RVTY,2026-05-08,2170380.0,2372,1,2375,0.9987368421052631,0.9987368421052631,0.09244756808561616,30.97,0.982262595,2170380.0,1.0,False
US.SMCI,2026-05-08,3495457.0,6937,4,61622,0.13627586534284647,0.2119655286708651,0.021916389438739015,89.30675,0.8740110050000001,14607995.0,0.2392838305325269,False
US.SNDK,2026-05-08,4784651.0,335,1,1459,0.22960932145305005,0.22960932145305005,0.024473897628034726,140.951,0.949715345,120115480.0,0.03983375831324988,False
US.TFC,2026-05-08,9186244.0,13126,5,2828,163.14674829374317,800.0,208800.55534602609,59.5582,0.7398638477999999,10523340.0,0.8729399601267278,True
US.TSLA,2026-05-08,128605485.0,26320,23,66926,6.091443089404063,120.5,2.9043770416527903,83.04634782608696,0.8330799994347826,1430501277.0,0.08990239090852625,True
US.TXN,2026-05-08,827625.0,250,1,177,1.4124293785310735,1.4124293785310735,0.1639267794708708,125.204,0.985865777,1351348.0,0.6124440188611667,False
US.UNH,2026-05-08,2969043.0,253,1,46,5.5,5.5,1.7456702829955715,0.0,0.0,4061730.0,0.730979902652318,True
US.VTRS,2026-05-08,1220857.0,2008,1,2141,0.9378794955628211,0.9378794955628211,0.3279053845899722,0.0,0.0,1220857.0,1.0,False
US.WDAY,2026-05-08,1430000.0,500,1,549,0.9107468123861566,0.9107468123861566,0.19901710600736613,66.704,0.710652599,1998629.0,0.7154904687163051,False
US.WFC,2026-05-08,63131885.0,38872,14,9247,41.73118805166172,500.0,4.17093021739901,40.91542857142857,0.34415165942857145,63131885.0,1.0,True
US.WMT,2026-05-08,109220669.0,34262,13,20946,3.670638261721401,5.889558232931727,0.9909925899882036,20.044384615384615,0.22696591723076923,115466554.0,0.9459074096902554,False
US.ZS,2026-05-08,945600.0,227,1,686,0.33090379008746357,0.33090379008746357,0.09021700739424546,0.0,0.0,945600.0,1.0,False
