stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover
US.CRM,58.57,50.11000000000001,3,16598874.0,9335842.0
US.FE,58.57,58.57,1,1649200.0,1649200.0
US.ALB,57.98,42.00333333333333,3,6454371.0,3565625.0
US.LVS,57.68,57.68,1,337443.0,337443.0
US.TER,57.63,56.35,2,3563599.0,2062130.0
US.TTD,57.61,51.555,2,6014957.0,4188723.0
US.DE,57.6,55.730000000000004,2,2739042.0,1599042.0
US.MP,57.45,46.626666666666665,3,15172041.0,6797909.0
US.DHI,57.29,50.730000000000004,2,1723013.0,1066813.0
US.MCD,57.17,49.72666666666667,3,9803311.0,5686257.0
US.ZS,56.48,43.045,2,5700785.0,4755185.0
US.FANG,56.46,56.46,1,1432986.0,1432986.0
US.CW,56.36,56.36,1,3943753.0,3943753.0
US.HD,56.17,56.17,1,4568986.0,4568986.0
US.INTU,56.13,43.24,3,4450692.0,1961662.0
US.BAC,56.0,37.4,2,8648450.0,8072886.0
US.ZTS,55.91,44.89,2,1549823.0,1222131.0
US.MKSI,55.78,55.78,1,1662160.0,1662160.0
US.PPG,55.68,55.68,1,960375.0,960375.0
US.GE,55.45,33.12,3,36445854.0,34062955.0
US.EOG,55.09,51.68000000000001,2,1809004.0,1135968.0
US.PLNT,54.92,48.66,2,3250356.0,2243906.0
US.JD,54.9,31.593333333333334,3,2952837.0,1362197.0
US.FCX,54.61,38.32666666666667,3,13211390.0,8836845.0
US.AMKR,54.52,43.505,2,2443176.0,1508821.0
US.SGI,53.91,53.91,1,4990697.0,4990697.0
US.JPM,53.88,50.25666666666667,3,20495895.0,9638148.0
US.DIS,53.74,39.123333333333335,3,7114849.0,3800240.0
US.OKTA,53.47,34.035,2,5125378.0,4793657.0
US.CGNX,53.18,51.025,2,11844615.0,7263546.0
